"filename", "language", "YAML", "Dart", "HTML", "Markdown", "JSON", "C++", "XML", "Swift", "Properties", "Groovy", "comment", "blank", "total"
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 46, 3, 11, 60
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 11, 1, 42
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\l10n.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\components\errors\404.dart", "Dart", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 25
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\components\locale\changeLocale.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\components\theme\colorPicker.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\screens\testing\debug\logsUI.dart", "Dart", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 32
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\screens\testing\home\helloWorld.dart", "Dart", 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\UI\screens\testing\theme\newTheme.dart", "Dart", 0, 82, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8, 92
"c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\ukeplanr_template\lib\config\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
