Date : 2021-08-04 17:37:33
Directory : c:\Users\halvo\OneDrive\Documents\GitHub\Ukeplanr\modlar
Total : 71 files,  1757 codes, 268 comments, 348 blanks, all 2373 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         31 |        795 |         61 |        131 |        987 |
| C++        |         13 |        484 |         92 |        153 |        729 |
| JSON       |          5 |        184 |          0 |          7 |        191 |
| XML        |          9 |        125 |         51 |         11 |        187 |
| Groovy     |          3 |         81 |          3 |         20 |        104 |
| HTML       |          1 |         26 |         15 |          5 |         46 |
| YAML       |          2 |         24 |         45 |          8 |         77 |
| Markdown   |          4 |         18 |          0 |          9 |         27 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                              | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                 |         71 |      1,757 |        268 |        348 |      2,373 |
| android                                                                                                                           |         12 |        153 |         53 |         31 |        237 |
| android\app                                                                                                                       |          8 |        110 |         52 |         20 |        182 |
| android\app\src                                                                                                                   |          7 |         64 |         49 |          9 |        122 |
| android\app\src\debug                                                                                                             |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                              |          5 |         56 |         43 |          7 |        106 |
| android\app\src\main\res                                                                                                          |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                 |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                   |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                             |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                           |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                    |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                            |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                               |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                        |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                             |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                               |         35 |        816 |         61 |        135 |      1,012 |
| lib\UI                                                                                                                            |          7 |        237 |          7 |         29 |        273 |
| lib\UI\components                                                                                                                 |          3 |        101 |          0 |         12 |        113 |
| lib\UI\components\errors                                                                                                          |          1 |         21 |          0 |          4 |         25 |
| lib\UI\components\locale                                                                                                          |          1 |         30 |          0 |          4 |         34 |
| lib\UI\components\theme                                                                                                           |          1 |         50 |          0 |          4 |         54 |
| lib\UI\screens                                                                                                                    |          3 |        134 |          7 |         17 |        158 |
| lib\UI\screens\testing                                                                                                            |          3 |        134 |          7 |         17 |        158 |
| lib\UI\screens\testing\debug                                                                                                      |          1 |         22 |          5 |          5 |         32 |
| lib\UI\screens\testing\home                                                                                                       |          1 |         30 |          0 |          4 |         34 |
| lib\UI\screens\testing\theme                                                                                                      |          1 |         82 |          2 |          8 |         92 |
| lib\config                                                                                                                        |          6 |         54 |          0 |         12 |         66 |
| lib\config\l10n                                                                                                                   |          2 |         16 |          0 |          4 |         20 |
| lib\config\logs                                                                                                                   |          1 |         14 |          0 |          3 |         17 |
| lib\config\routes                                                                                                                 |          1 |         12 |          0 |          3 |         15 |
| lib\config\theme                                                                                                                  |          1 |          9 |          0 |          2 |         11 |
| lib\extensions                                                                                                                    |          4 |         36 |          0 |          9 |         45 |
| lib\extensions\color                                                                                                              |          1 |          7 |          0 |          2 |          9 |
| lib\extensions\list                                                                                                               |          1 |          9 |          0 |          1 |         10 |
| lib\extensions\map                                                                                                                |          1 |         10 |          0 |          3 |         13 |
| lib\extensions\themeData                                                                                                          |          1 |         10 |          0 |          3 |         13 |
| lib\logic                                                                                                                         |          9 |        200 |         11 |         51 |        262 |
| lib\logic\Localization                                                                                                            |          1 |         23 |          1 |          7 |         31 |
| lib\logic\Localization\state                                                                                                      |          1 |         23 |          1 |          7 |         31 |
| lib\logic\logs                                                                                                                    |          2 |         37 |          2 |         11 |         50 |
| lib\logic\logs\output                                                                                                             |          1 |         25 |          2 |          8 |         35 |
| lib\logic\logs\printer                                                                                                            |          1 |         12 |          0 |          3 |         15 |
| lib\logic\navigation                                                                                                              |          4 |         68 |          2 |         17 |         87 |
| lib\logic\navigation\gen                                                                                                          |          1 |         36 |          1 |          4 |         41 |
| lib\logic\navigation\mapping                                                                                                      |          1 |         12 |          0 |          3 |         15 |
| lib\logic\navigation\observers                                                                                                    |          1 |         12 |          1 |          6 |         19 |
| lib\logic\navigation\routes                                                                                                       |          1 |          8 |          0 |          4 |         12 |
| lib\logic\theme                                                                                                                   |          2 |         72 |          6 |         16 |         94 |
| lib\logic\theme\custom                                                                                                            |          1 |         10 |          3 |          3 |         16 |
| lib\start                                                                                                                         |          8 |        245 |         19 |         27 |        291 |
| lib\start\localization                                                                                                            |          1 |         42 |          0 |          5 |         47 |
| lib\start\logs                                                                                                                    |          1 |         40 |          2 |          3 |         45 |
| lib\start\navigation                                                                                                              |          2 |         51 |          0 |          6 |         57 |
